ID;Class;Order;Family;Genus;Species
A1;Amphibia;Anura;Alytidae;Alytes;cisternasii
A2;Amphibia;Anura;Alytidae;Alytes;dickhilleni
A3;Amphibia;Anura;Alytidae;Alytes;muletensis
A4;Amphibia;Anura;Alytidae;Alytes;obstetricans
A13;Amphibia;Anura;Alytidae;Discoglossus;galganoi
A14;Amphibia;Anura;Alytidae;Discoglossus;jeanneae
A15;Amphibia;Anura;Alytidae;Discoglossus;montalentii
A16;Amphibia;Anura;Alytidae;Discoglossus;pictus
A17;Amphibia;Anura;Alytidae;Discoglossus;sardus
A5;Amphibia;Anura;Bombinatoridae;Bombina;bombina
A6;Amphibia;Anura;Bombinatoridae;Bombina;pachypus
A7;Amphibia;Anura;Bombinatoridae;Bombina;variegata
A8;Amphibia;Anura;Bufonidae;Bufo;bufo
A10;Amphibia;Anura;Bufonidae;Bufo;verrucosissimus
A9;Amphibia;Anura;Bufonidae;Epidalea;calamita
A100;Amphibia;Anura;Bufonidae;Pseudepidalea;balearica
A101;Amphibia;Anura;Bufonidae;Pseudepidalea;boulengeri
A102;Amphibia;Anura;Bufonidae;Pseudepidalea;sicula
A103;Amphibia;Anura;Bufonidae;Pseudepidalea;variabilis
A11;Amphibia;Anura;Bufonidae;Pseudepidalea;viridis
A21;Amphibia;Anura;Hylidae;Hyla;arborea
A22;Amphibia;Anura;Hylidae;Hyla;intermedia
A23;Amphibia;Anura;Hylidae;Hyla;meridionalis
A24;Amphibia;Anura;Hylidae;Hyla;sarda
A25;Amphibia;Anura;Hylidae;Hyla;savignyi
A36;Amphibia;Anura;Pelobatidae;Pelobates;cultripes
A37;Amphibia;Anura;Pelobatidae;Pelobates;fuscus
A38;Amphibia;Anura;Pelobatidae;Pelobates;syriacus
A39;Amphibia;Anura;Pelodytidae;Pelodytes;caucasicus
A40;Amphibia;Anura;Pelodytidae;Pelodytes;ibericus
A41;Amphibia;Anura;Pelodytidae;Pelodytes;punctatus
A45;Amphibia;Anura;Ranidae;Pelophylax;bedriagae
A46;Amphibia;Anura;Ranidae;Pelophylax;bergeri
A96;Amphibia;Anura;Ranidae;Pelophylax;caralitanus
A47;Amphibia;Anura;Ranidae;Pelophylax;cerigensis
A48;Amphibia;Anura;Ranidae;Pelophylax;cretensis
A50;Amphibia;Anura;Ranidae;Pelophylax;epeiroticus
A51;Amphibia;Anura;Ranidae;Pelophylax;esculentus
A53;Amphibia;Anura;Ranidae;Pelophylax;grafi
A54;Amphibia;Anura;Ranidae;Pelophylax;hispanicus
A57;Amphibia;Anura;Ranidae;Pelophylax;kurtmuelleri
A59;Amphibia;Anura;Ranidae;Pelophylax;lessonae
A61;Amphibia;Anura;Ranidae;Pelophylax;perezi
A63;Amphibia;Anura;Ranidae;Pelophylax;ridibundus
A64;Amphibia;Anura;Ranidae;Pelophylax;shqipericus
A44;Amphibia;Anura;Ranidae;Rana;arvalis
A49;Amphibia;Anura;Ranidae;Rana;dalmatina
A52;Amphibia;Anura;Ranidae;Rana;graeca
A98;Amphibia;Anura;Ranidae;Rana;holtzi
A55;Amphibia;Anura;Ranidae;Rana;iberica
A56;Amphibia;Anura;Ranidae;Rana;italica
A58;Amphibia;Anura;Ranidae;Rana;latastei
A60;Amphibia;Anura;Ranidae;Rana;macrocnemis
A62;Amphibia;Anura;Ranidae;Rana;pyrenaica
A65;Amphibia;Anura;Ranidae;Rana;tavasensis
A66;Amphibia;Anura;Ranidae;Rana;temporaria
A72;Amphibia;Caudata;Hynobiidae;Salamandrella;keyserlingii
A77;Amphibia;Caudata;Plethodontidae;Atylodes;genei
A75;Amphibia;Caudata;Plethodontidae;Speleomantes;ambrosii
A76;Amphibia;Caudata;Plethodontidae;Speleomantes;flavus
A78;Amphibia;Caudata;Plethodontidae;Speleomantes;imperialis
A79;Amphibia;Caudata;Plethodontidae;Speleomantes;italicus
A80;Amphibia;Caudata;Plethodontidae;Speleomantes;sarrabusensis
A81;Amphibia;Caudata;Plethodontidae;Speleomantes;strinatii
A82;Amphibia;Caudata;Plethodontidae;Speleomantes;supramontis
A43;Amphibia;Caudata;Proteidae;Proteus;anguinus
A99;Amphibia;Caudata;Salamandridae;Calotriton;arnoldi
A18;Amphibia;Caudata;Salamandridae;Calotriton;asper
A12;Amphibia;Caudata;Salamandridae;Chioglossa;lusitanica
A19;Amphibia;Caudata;Salamandridae;Euproctus;montanus
A20;Amphibia;Caudata;Salamandridae;Euproctus;platycephalus
A84;Amphibia;Caudata;Salamandridae;Lissotriton;boscai
A88;Amphibia;Caudata;Salamandridae;Lissotriton;helveticus
A89;Amphibia;Caudata;Salamandridae;Lissotriton;italicus
A92;Amphibia;Caudata;Salamandridae;Lissotriton;montandoni
A95;Amphibia;Caudata;Salamandridae;Lissotriton;vulgaris
A26;Amphibia;Caudata;Salamandridae;Lyciasalamandra;antalyana
A27;Amphibia;Caudata;Salamandridae;Lyciasalamandra;atifi
A28;Amphibia;Caudata;Salamandridae;Lyciasalamandra;billae
A29;Amphibia;Caudata;Salamandridae;Lyciasalamandra;fazilae
A30;Amphibia;Caudata;Salamandridae;Lyciasalamandra;flavimembris
A31;Amphibia;Caudata;Salamandridae;Lyciasalamandra;helverseni
A32;Amphibia;Caudata;Salamandridae;Lyciasalamandra;luschani
A33;Amphibia;Caudata;Salamandridae;Mertensiella;caucasica
A83;Amphibia;Caudata;Salamandridae;Mesotriton;alpestris
A34;Amphibia;Caudata;Salamandridae;Neurergus;crocatus
A35;Amphibia;Caudata;Salamandridae;Neurergus;strauchii
A97;Amphibia;Caudata;Salamandridae;Ommatotriton;ophryticus
A94;Amphibia;Caudata;Salamandridae;Ommatotriton;vittatus
A42;Amphibia;Caudata;Salamandridae;Pleurodeles;waltl
A67;Amphibia;Caudata;Salamandridae;Salamandra;atra
A68;Amphibia;Caudata;Salamandridae;Salamandra;corsica
A69;Amphibia;Caudata;Salamandridae;Salamandra;infraimmaculata
A70;Amphibia;Caudata;Salamandridae;Salamandra;lanzai
A71;Amphibia;Caudata;Salamandridae;Salamandra;salamandra
A73;Amphibia;Caudata;Salamandridae;Salamandrina;perspicillata
A74;Amphibia;Caudata;Salamandridae;Salamandrina;terdigitata
A85;Amphibia;Caudata;Salamandridae;Triturus;carnifex
A86;Amphibia;Caudata;Salamandridae;Triturus;cristatus
A87;Amphibia;Caudata;Salamandridae;Triturus;dobrogicus
A90;Amphibia;Caudata;Salamandridae;Triturus;karelinii
A104;Amphibia;Caudata;Salamandridae;Triturus;macedonicus
A91;Amphibia;Caudata;Salamandridae;Triturus;marmoratus
A93;Amphibia;Caudata;Salamandridae;Triturus;pygmaeus
B62;Aves;Anseriformes;Anatidae;Anas;acuta
B64;Aves;Anseriformes;Anatidae;Anas;clypeata
B60;Aves;Anseriformes;Anatidae;Anas;crecca
B58;Aves;Anseriformes;Anatidae;Anas;penelope
B61;Aves;Anseriformes;Anatidae;Anas;platyrhynchos
B63;Aves;Anseriformes;Anatidae;Anas;querquedula
B59;Aves;Anseriformes;Anatidae;Anas;strepera
B49;Aves;Anseriformes;Anatidae;Anser;albifrons
B51;Aves;Anseriformes;Anatidae;Anser;anser
B48;Aves;Anseriformes;Anatidae;Anser;brachyrhynchus
B50;Aves;Anseriformes;Anatidae;Anser;erythropus
B47;Aves;Anseriformes;Anatidae;Anser;fabalis
B67;Aves;Anseriformes;Anatidae;Aythya;ferina
B69;Aves;Anseriformes;Anatidae;Aythya;fuligula
B70;Aves;Anseriformes;Anatidae;Aythya;marila
B68;Aves;Anseriformes;Anatidae;Aythya;nyroca
B54;Aves;Anseriformes;Anatidae;Branta;bernicla
B53;Aves;Anseriformes;Anatidae;Branta;leucopsis
B78;Aves;Anseriformes;Anatidae;Bucephala;clangula
B79;Aves;Anseriformes;Anatidae;Bucephala;islandica
B75;Aves;Anseriformes;Anatidae;Clangula;hyemalis
B46;Aves;Anseriformes;Anatidae;Cygnus;columbianus
B45;Aves;Anseriformes;Anatidae;Cygnus;cygnus
B44;Aves;Anseriformes;Anatidae;Cygnus;olor
B74;Aves;Anseriformes;Anatidae;Histrionicus;histrionicus
B65;Aves;Anseriformes;Anatidae;Marmaronetta;angustirostris
B77;Aves;Anseriformes;Anatidae;Melanitta;fusca
B76;Aves;Anseriformes;Anatidae;Melanitta;nigra
B80;Aves;Anseriformes;Anatidae;Mergus;albellus
B82;Aves;Anseriformes;Anatidae;Mergus;merganser
B81;Aves;Anseriformes;Anatidae;Mergus;serrator
B66;Aves;Anseriformes;Anatidae;Netta;rufina
B84;Aves;Anseriformes;Anatidae;Oxyura;leucocephala
B73;Aves;Anseriformes;Anatidae;Polysticta;stelleri
B71;Aves;Anseriformes;Anatidae;Somateria;mollissima
B72;Aves;Anseriformes;Anatidae;Somateria;spectabilis
B56;Aves;Anseriformes;Anatidae;Tadorna;ferruginea
B57;Aves;Anseriformes;Anatidae;Tadorna;tadorna
B274;Aves;Apodiformes;Apodidae;Apus;affini
B271;Aves;Apodiformes;Apodidae;Apus;apus
B275;Aves;Apodiformes;Apodidae;Apus;caffer
B270;Aves;Apodiformes;Apodidae;Apus;melba
B273;Aves;Apodiformes;Apodidae;Apus;pallidus
B272;Aves;Apodiformes;Apodidae;Apus;unicolor
B269;Aves;Caprimulgiformes;Caprimulgidae;Caprimulgus;europaeus
B268;Aves;Caprimulgiformes;Caprimulgidae;Caprimulgus;ruficollis
B239;Aves;Charadriformes;Alcidae;Alca;torda
B236;Aves;Charadriformes;Alcidae;Alle;alle
B240;Aves;Charadriformes;Alcidae;Cepphus;grylle
